Timestamp,1. Gender,2. Age,3. How many people in your family ?,1. What kinds of product do you regularly purchase? (สินค้าประเภทไหนที่คุณซื้อเป็นประจำ?),2. How often do you purchase those grocery products? (คุณซื้อสินค้าบ่อยแค่ไหน?),3. Where do you buying the products? (คุณซื้อสินค้าที่ไหน?),4. Have you ever you any online applications for buying? (คุณเคยซื้อของผ่านแอปพลิเคชั่นออนไลน์เหล่านี้หรือไม่),5. Do you prefer to use the same brand for buying the products? (คุณชอบซื้อสินค้าแบรนด์เดิมมาใช้หรือไม่),6. Which of the following situation is the most relevant to you? (พฤติกรรมใด ตรงกับคุณมากที่สุด?),"7. What is problem you have experienced during shopping grocery? (e.g. forget to buy run out item, too busy to go shopping, take some time to find stuff, etc.) (คุณประสบปัญหาอะไรบ้าง ในการซื้อสินค้าที่ใช้เป็นประจำ?)",8. What do you concern about or expect from online shopping platform? (คุณกังวล หรือ คาดหวังกับการซื้อสินค้าที่ใช้เป็นประจำผ่านทางออนไลน์อะไรบ้าง?),1. How do you feel about Grocery Shopping Application?,2. Do you think our application can fix your problem?,3. Any suggestions or comments?
1/20/2022 22:46:27,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once per month (1 ครั้ง/เดือน),Onsite Store (e.g. Shopping mall),"Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",Forget to buy needed and buy a lot of off-list items,not deceived and got things like in the picture,5,Yes,Good idea
1/20/2022 23:42:53,LGBTQ+,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",สินค้าหมดและหาซื้อได้ยาก,คาดหวังว่าจะมีสินค้าอยู่ตลอดไม่มีหมดจากสต็อก,5,Yes,-
1/21/2022 0:08:47,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Twice per month (2 ครั้ง/เดือน),"Online Platform (Please, answer the next question)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",Nothing,ได้สินค้าครบ,4,Yes,No
1/21/2022 1:27:20,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question)",Shopee,"Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),ความขี้เกียจที่ต้องออกไปซื้อสินค้า,โปรโมชั่น,4,Yes,No
1/21/2022 1:27:46,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question)","Shopee, Tops online","Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",เงินหมด อยากเปลี่ยนแบรนด์บ้าง,โปรโมชั่น การลดราคา,3,Yes,No
1/21/2022 1:39:06,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Twice per month (2 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",Forget to buy run out item,กลัวได้ของไม่ตรงปก,5,Yes,ชอบที่ฟอร์มมีซับไทยให้อ่าน
1/21/2022 2:05:54,Male,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per month (1 ครั้ง/เดือน),Onsite Store (e.g. Shopping mall),"Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),-,-,4,Yes,No
1/21/2022 14:01:23,LGBTQ+,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once per week (1 ครั้ง/สัปดาห์),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada, Tops online","Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),ของ ณ ที่จำหน่ายหมด,สต็อคสินค้าเพียงพอ,4,Yes,โปรโมชั่น
1/21/2022 15:21:16,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Twice per month (2 ครั้ง/เดือน),Onsite Store (e.g. Shopping mall),"Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",สินค้านั้นไม่ลดราคา สินค้าเลิกผลิตหรือขาดตลาด,กลัวไม่ตรงปกมากๆกับทางร้านโกงและเป็นสินค้าปลอม,4,Yes,No
1/21/2022 19:22:24,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once in 2-3 months (1 ครั้ง/2-3 เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",Sometimes I bored and want to try a new one,Fake product,5,Yes,-
1/22/2022 0:23:23,Male,20-25,2-3 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)",Shopee,"Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",The problem that I was encountered is forgot to buy a stuff when it almost run out of items.,I am concerned that the products will not send on time or mistake sending,4,Yes,"I think the groceries shop by using subscription systems is one of which new systems help me to buy the necessary items every month. But if I think that might not be 100 percent assisted me because I've already been to the department store at least 1 time per month, so I perhaps buy the stuff at that time."
1/22/2022 17:03:29,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once per month (1 ครั้ง/เดือน),Onsite Store (e.g. Shopping mall),Shopee,"Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),Too busy to go to the shopping mall.,Product fraud,4,Yes,-
